id,speaker,dialog,speed,time,reply1,reply2,goto1,goto2
1,p,어서오세요~,3,1,,,,
2,p,,3,-1,,,,
3,v,계산이용!,3,-1,,,,
4,p,"6,000원 입니다.",3,1,,,,
5,v,우웅.. 잠시만용. ,3,1,,,,
6,v,공주는 서민의 돈은 잘 몰라서용.,3,1,,,,
7,v,서민의 돈을 한번 써보러 왔어용.,3,1,,,,
8,v,웅.. 종이 쪼가리. 어디있징? 히잉.,3,1,,,,
9,p,돈을 내지 않으시면 결제가 불가능합니다 손님.,3,1,,,,
10,v,우웅! 쫌 기다려봐용! 공주 가져왔단 말이에용.,3,1,,,,
11,v,히잉. 무쪄워.,3,3,,,,
12,v,아 찾았어용!,3,1,,,,
13,v,돈 다 낸거 맞죵?,3,-1,네,아니오,14,14
14,p,천원 부족합니다 손님.,3,1,,,,
15,v,천원이 어떻게 생긴거죵?,3,1,,,,
16,v,공주는 그런거 모르는데..,3,1,,,,
17,v,기다려용..,3,2,,,,
18,v,없는데..,3,1,,,,
19,v,대신 이거는 어때용?,3,1,,,,
20,v,이제 정말 다 낸 거 맞죵? 어서 결제 해줘요.,3,-1,,,,
21,p,결제 완료되었습니다. 감사합니다.,3,1,,,,
22,v,해냈당! 신나용. 현금 결제는 처음 해보거든요.,3,1,,,,
23,v,"우웅, 그거 아세요? 저는 사실 부잣집 자식인뎅...",3,1,,,,
24,v,트럭에 치였더니 아저씨 모습으로 환생해버렸지 뭐예용.,3,1,,,,
25,v,"공주, 너무 슬퍼용. 아무도 믿어주지 않아.",3,1,,,,
26,v,그럼 안녕히계세용!,3,1,,,,
1001,v,잘못 찍은 것 같은데.. 다시 해보자.,3,-1,,,,
